Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
FWD,441,Obi,4.5,4.5,MUN,1,0.11,1,0.11,1,0.10,2,0.12,1,0.11,1,0.11,2,0.14,2,0.14,2,0.13,2,0.12,1.2%
GKP,442,Pope,5.0,5.0,NEW,94,3.22,94,3.21,92,3.52,92,3.44,90,4.00,89,3.54,90,3.42,88,3.33,87,3.51,88,3.33,1.1%
GKP,443,Gillespie,4.5,4.5,NEW,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.1%
GKP,444,Jaouen,4.5,4.5,NEW,1,0.04,1,0.04,3,0.10,3,0.11,5,0.21,5,0.21,5,0.18,6,0.22,7,0.29,7,0.26,0.1%
DEF,445,Thiaw,5.0,5.0,NEW,88,3.05,82,2.98,80,3.49,78,3.16,76,4.19,75,3.58,75,2.93,72,3.03,71,3.31,70,2.69,2.5%
DEF,446,Schär,5.0,5.0,NEW,9,0.39,11,0.47,15,0.71,16,0.70,19,1.07,21,1.05,22,0.97,23,1.00,27,1.31,27,1.11,0.1%
DEF,447,Botman,5.0,5.0,NEW,79,2.97,74,2.94,72,3.33,69,3.02,69,3.99,69,3.50,68,2.87,68,3.03,66,3.26,68,2.83,0.4%
DEF,448,Burn,5.0,5.0,NEW,57,1.84,44,1.50,46,1.86,51,1.94,52,2.69,50,2.20,53,2.00,55,2.10,54,2.34,53,1.89,2.7%
DEF,449,Hall,5.0,5.0,NEW,83,2.76,77,2.56,74,3.02,73,2.75,70,3.95,71,3.26,67,2.63,70,2.71,68,3.14,68,2.49,4.5%
DEF,450,Livramento,5.0,5.0,NEW,54,1.52,86,2.49,81,2.92,77,2.59,76,3.78,77,3.18,72,2.53,72,2.47,72,2.97,74,2.40,0.1%
DEF,451,A.Murphy,4.0,4.0,NEW,0,0.00,0,0.00,1,0.04,1,0.05,2,0.08,2,0.09,3,0.09,2,0.07,2,0.09,1,0.06,0.8%
MID,452,Bruno G.,7.0,7.0,NEW,92,4.31,87,4.01,85,4.59,82,4.00,81,5.03,81,4.36,81,4.11,80,3.99,80,4.24,79,3.78,8.0%
MID,453,Barnes,6.0,6.0,NEW,57,2.74,55,2.59,52,2.85,54,2.64,52,3.25,52,2.85,51,2.68,49,2.48,50,2.70,51,2.54,1.2%
MID,454,Elanga,6.0,6.0,NEW,42,1.95,40,1.82,40,2.04,39,1.83,40,2.40,37,1.93,40,1.97,39,1.89,38,1.96,38,1.86,0.7%
MID,455,Tonali,5.5,5.5,TOT,87,3.26,82,3.28,79,2.97,77,3.20,76,3.05,74,2.60,74,3.30,74,2.60,75,3.12,74,2.79,3.0%
MID,456,J.Ramsey,5.0,5.0,NEW,25,1.14,22,1.07,24,1.24,28,1.29,28,1.63,28,1.44,29,1.43,31,1.46,33,1.64,31,1.47,0.5%
MID,457,J.Murphy,6.0,6.0,NEW,44,1.98,41,1.79,40,1.98,40,1.86,39,2.23,40,2.04,37,1.82,37,1.78,38,1.90,38,1.74,0.2%
MID,458,Joelinton,5.5,5.5,NEW,51,2.05,58,2.32,56,2.51,55,2.24,50,2.56,52,2.35,51,2.23,52,2.18,50,2.26,53,2.23,0.0%
MID,459,L.Miley,5.5,5.5,NEW,10,0.34,29,1.02,52,2.03,57,2.08,55,2.33,56,2.20,56,2.10,56,2.09,57,2.21,56,2.04,0.0%
