Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
MID,546,Adingra,5.0,5.0,SUN,5,0.32,6,0.37,7,0.37,8,0.38,8,0.38,10,0.54,10,0.53,12,0.68,12,0.62,11,0.59,0.3%
MID,547,Mundle,5.0,5.0,SUN,4,0.28,5,0.33,6,0.30,7,0.33,8,0.37,8,0.45,9,0.49,9,0.48,10,0.56,11,0.55,0.0%
MID,548,Rigg,5.0,5.0,SUN,9,0.49,12,0.61,14,0.63,15,0.64,15,0.65,17,0.79,20,0.91,19,0.92,20,0.97,19,0.89,0.1%
MID,549,Talbi,5.5,5.5,SUN,44,2.10,43,2.05,46,1.93,45,1.69,44,1.68,44,2.00,43,1.81,44,2.02,45,2.09,44,1.94,0.2%
MID,550,Jocelin.T,5.0,5.0,SUN,7,0.45,9,0.56,11,0.62,12,0.58,16,0.73,14,0.75,16,0.83,16,0.87,15,0.82,16,0.84,0.0%
MID,551,Angulo,5.0,5.0,SUN,33,1.63,35,1.73,34,1.51,38,1.46,36,1.41,37,1.72,38,1.68,34,1.63,37,1.78,36,1.64,0.1%
FWD,552,Brobbey,6.0,6.0,SUN,81,4.11,77,3.86,78,3.44,74,2.80,75,2.83,73,3.46,74,3.19,71,3.43,72,3.44,71,3.20,22.5%
FWD,553,Isidor,5.5,5.5,SUN,15,0.99,18,1.10,19,1.08,22,1.04,22,1.04,25,1.36,22,1.15,25,1.35,25,1.43,26,1.35,1.3%
GKP,554,Van Oevelen,4.5,4.5,IPS,6,0.25,7,0.26,10,0.36,11,0.42,11,0.42,13,0.54,12,0.43,13,0.53,14,0.60,14,0.56,0.1%
GKP,555,Matthews,4.0,4.0,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.7%
DEF,556,Targett,4.0,4.0,HUL,51,1.42,52,1.97,50,1.59,49,1.10,51,1.40,49,1.85,49,1.49,47,1.66,47,2.01,49,0.97,2.1%
MID,557,Tzolis,6.5,6.5,ARS,58,3.97,46,2.40,43,2.50,41,2.35,39,2.13,39,2.35,40,2.18,39,2.26,39,1.93,38,2.63,1.2%
MID,558,Schlager,5.0,5.0,NFO,83,3.05,78,2.57,77,2.78,74,2.47,73,2.92,72,2.62,70,2.22,72,2.70,71,2.50,71,2.40,0.1%
MID,559,Bamba,5.0,5.0,NEW,19,0.77,15,0.62,14,0.64,14,0.61,17,0.82,17,0.75,21,0.89,20,0.81,20,0.88,20,0.80,0.1%
GKP,560,Penders,4.5,4.5,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,561,Anselmino,4.5,4.5,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,562,Maeda,5.5,5.5,IPS,57,2.58,54,1.91,55,2.15,55,2.22,53,2.08,53,2.33,52,1.82,54,2.32,53,2.44,54,2.30,0.4%
MID,563,Morita,5.0,5.0,HUL,67,2.37,64,2.47,62,2.26,60,2.02,58,2.10,56,2.17,56,2.03,54,2.07,56,2.22,53,1.78,0.0%
GKP,564,Scherpen,4.5,4.5,IPS,84,3.22,81,2.46,78,2.38,75,2.66,72,2.67,70,2.58,69,2.08,68,2.53,66,2.68,65,2.33,0.0%
DEF,10001,Max Aarons,99.9,99.9,BOU,2,0.08,2,0.09,2,0.10,3,0.13,2,0.10,4,0.14,3,0.15,4,0.16,4,0.17,3,0.16,0.0%
DEF,10002,Matai Akinmboni,99.9,99.9,BOU,0,0.00,2,0.08,3,0.11,3,0.15,4,0.15,5,0.16,6,0.30,6,0.19,6,0.31,6,0.28,0.0%
MID,10003,Ben Winterburn,99.9,99.9,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10004,Charlie Stevens,99.9,99.9,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10005,Daniel Jebbison,99.9,99.9,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10006,Jonny Stuttle,99.9,99.9,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10007,Romain Faivre,99.9,99.9,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10008,Remy Rees-Dottin,99.9,99.9,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10009,Tommy Setford,99.9,99.9,ARS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10010,Marli Salmon,99.9,99.9,ARS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10012,Ronnie Hollingshead,99.9,99.9,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10013,Rhys Oakley,99.9,99.9,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10014,Modou Cissé,99.9,99.9,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10015,Brian Madjo,99.9,99.9,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10017,Ellery Balcombe,99.9,99.9,BRE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10018,Julian Eyestone,99.9,99.9,BRE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10019,Benjamin Arthur,99.9,99.9,BRE,0,0.00,0,0.00,1,0.05,0,0.00,1,0.06,1,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10020,Benjamin Fredrick,99.9,99.9,BRE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10021,Jayden Meghoma,99.9,99.9,BRE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10022,Luka Bentt,99.9,99.9,BRE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10023,Gustavo Nunes,99.9,99.9,BRE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10024,Eiran Cashin,99.9,99.9,BHA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10025,Malick Junior Yalcouyé,99.9,99.9,BHA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10026,Amario Cozier-Duberry,99.9,99.9,BHA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10027,Ibrahim Osman,99.9,99.9,BHA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10028,James Hillson,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10030,Gaga Slonina,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10032,Denner,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10033,Ishé Samuels-Smith,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,0,0.00,1,0.05,1,0.07,1,0.07,0.0%
MID,10034,Caleb Wiley,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10035,David Datro Fofana,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10036,Mykhaylo Mudryk,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10037,Omari Kellyman,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10038,Oscar Varney,99.9,99.9,COV,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10039,Harri Laidler,99.9,99.9,COV,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10041,Joe Whitworth,99.9,99.9,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10042,George King,99.9,99.9,CRY,0,0.00,0,0.00,1,0.05,1,0.06,1,0.07,2,0.08,2,0.07,2,0.10,2,0.08,3,0.10,0.0%
MID,10043,David Ozoh,99.9,99.9,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10044,Nathaniel Clyne,99.9,99.9,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10045,Kaden Rodney,99.9,99.9,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10046,Caleb Kporha,99.9,99.9,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10047,Dean Benamar,99.9,99.9,CRY,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10048,Reece Welch,99.9,99.9,EVE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,1,0.04,0,0.00,0.0%
DEF,10049,Elijah Campbell,99.9,99.9,EVE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.03,2,0.05,1,0.05,0.0%
MID,10050,Isaac Heath,99.9,99.9,EVE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10051,Luke Harris,99.9,99.9,FUL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.09,0,0.00,1,0.08,0.0%
DEF,10052,Brandon Williams,99.9,99.9,HUL,1,0.04,1,0.06,2,0.06,2,0.06,3,0.08,3,0.12,3,0.08,4,0.14,4,0.18,4,0.09,0.0%
MID,10053,Rocco Coyle,99.9,99.9,HUL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10054,Cameron Humphreys,99.9,99.9,IPS,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,1,0.07,0,0.00,2,0.07,1,0.05,2,0.07,0.0%
MID,10055,Harry Clarke,99.9,99.9,IPS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10056,Alex Cairns,99.9,99.9,LEE,1,0.05,3,0.09,2,0.08,3,0.12,3,0.13,4,0.11,3,0.11,4,0.15,3,0.11,4,0.13,0.0%
DEF,10058,Sam Byram,99.9,99.9,LEE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10059,Largie Ramazani,99.9,99.9,LEE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10060,Charlie Crew,99.9,99.9,LEE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10061,Josh Wilson-Esbrand,99.9,99.9,MCI,0,0.00,1,0.05,1,0.07,2,0.08,2,0.09,2,0.08,2,0.11,2,0.08,2,0.11,3,0.13,0.0%
DEF,10062,Juma Bah,99.9,99.9,MCI,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.07,1,0.07,1,0.07,0.0%
MID,10063,Issa Kaboré,99.9,99.9,MCI,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10064,Ryan McAidoo,99.9,99.9,MCI,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10066,Dermot Mee,99.9,99.9,MUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10067,Daniel Gore,99.9,99.9,MUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10068,Enzo Kana Biyik,99.9,99.9,MUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10069,Ethan Wheatley,99.9,99.9,MUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10070,Odysseas Vlachodimos,99.9,99.9,NEW,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,0,0.00,0,0.00,0.0%
DEF,10071,Leo Shahar,99.9,99.9,NEW,1,0.04,0,0.00,0,0.00,0,0.00,1,0.05,0,0.00,0,0.00,1,0.05,2,0.07,1,0.05,0.0%
MID,10072,Antoñito Cordero,99.9,99.9,NEW,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10073,Alfie Harrison,99.9,99.9,NEW,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10074,Eric da Silva Moreira,99.9,99.9,NFO,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10075,Grady McDonnell,99.9,99.9,NFO,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10076,Jimmy Sinclair,99.9,99.9,NFO,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
GKP,10077,Simon Moore,99.9,99.9,SUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
DEF,10078,Ajibola Alese,99.9,99.9,SUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10079,Alan Browne,99.9,99.9,SUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.05,1,0.05,1,0.05,0,0.00,2,0.06,0.0%
FWD,10080,Luís Semedo,99.9,99.9,SUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.07,0.0%
FWD,10081,Ahmed Abdullahi,99.9,99.9,SUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,0.0%
FWD,10082,Abdoullah Ba,99.9,99.9,SUN,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10083,Manor Solomon,99.9,99.9,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10084,Min-Hyeok Yang,99.9,99.9,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10086,Harrison Bettoni,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,10087,Reuben Silk,99.9,99.9,HUL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
FWD,10091,Dastan Satpaev,99.9,99.9,CHE,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
